# os:     macos-latest
# arch:   arm64
# kernel: Darwin 24.6.0 arm64
# go:     go version go1.25.7 darwin/arm64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:28:12Z
BenchmarkPost_Parallel-3            	15892377	       155.2 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	28394973	        86.51 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	27918582	       111.9 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	21443943	        95.03 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	21937525	        92.05 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	28504774	        92.31 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-3        	26422417	        96.29 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	27726966	        81.58 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	33618036	        76.94 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	30979983	        79.93 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	28692031	        82.93 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	27599278	        90.16 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-3      	25581853	        79.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	35291608	        69.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	30870896	        74.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	36057262	        70.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	30629792	        68.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	34947723	        69.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-3     	36241161	        66.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-3   	662853874	         3.639 ns/op	       0 B/op	       0 allocs/op
