# os:     ubuntu-24.04-arm
# arch:   arm64
# kernel: Linux 6.14.0-1017-azure aarch64
# go:     go version go1.25.8 linux/arm64
# sha:    070c4ccc4df3c07e540d705572d74b36edd3a60c
# ref:    refs/heads/main
# date:   2026-03-15T07:27:44Z
BenchmarkPost_Parallel-4            	 7901090	       302.0 ns/op	       1 B/op	       0 allocs/op
BenchmarkPost_Parallel-4            	 8192878	       296.2 ns/op	       1 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	24879163	        88.59 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	26056176	        95.14 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	28094413	        87.15 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	25855633	        92.71 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	23657131	       100.9 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_Standard-4        	24699350	        95.78 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	30812943	        75.73 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	29384529	        81.38 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	31591285	        75.68 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	29340249	        81.04 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	28706102	        81.23 ns/op	       0 B/op	       0 allocs/op
Benchmark10Fields_DirectPath-4      	31531131	        76.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37549172	        63.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37447495	        63.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37559456	        63.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37642370	        63.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37456986	        63.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_EscapeLoop-4     	37647343	        63.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	492856038	         4.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	492869067	         4.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	492865640	         4.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	492820089	         4.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	492839840	         4.873 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyEncode_DirectAppend-4   	493013985	         4.869 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	60430586	        44.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	58041732	        43.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	51438799	        43.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	51971008	        44.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	51602518	        43.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_UnderLimit-4   	51547934	        44.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9262 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9251 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9248 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9249 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9254 ns/op	       0 B/op	       0 allocs/op
BenchmarkRateSampler_OverLimit-4    	1000000000	         0.9255 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.802 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.795 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashSampler_Allow-4        	1000000000	         1.794 ns/op	       0 B/op	       0 allocs/op
